epoch,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41
1,14.719336119000431,14.228926731879202,10.459512263057949,6.265277493423975,5.1617573360873905,4.368900817586676,4.310965590328989,3.8822516525901136,3.8495060034065594,3.8438104773899,3.4683982389189585,3.4310387938943077,3.011450901262285,2.7291413164913148,2.167099657714091,2.032641051375807,1.575602616275638,1.54340221245468,1.520215612883895,1.3233887650539915,1.2135050796966877,1.109060993407602,1.082155231794405,1.0623170898390648,0.9791281777655798,0.7256884397643201,0.6918294884599093,0.4968772150316154,0.4149782542821129,0.40179492136552836,0.35584309093232047,0.35102966281508824,0.34264338539413464,0.30954103941661015,0.2767327792256264,0.2607438570703507,0.25860143276994957,0.2545946064519178,0.22974718512556494,0.22314086512588693,,
2,8.895222754941463,6.7449884631096255,5.006958685699327,3.3422009116421383,3.171147676463052,3.1477366120052146,3.0900766704375413,2.98418860255765,2.8033570565207815,2.246669370358591,2.1555584541739408,2.083518010227543,2.0541571836674364,2.0470494097078875,1.9369760876748512,1.9292938282022878,1.7961672303676546,1.4935256740007223,1.3822290669441086,1.1232548914906202,1.0481028112955157,0.7120672482573969,0.5386299606173568,0.5197954042067833,0.47658275896328095,0.462038385483994,0.3879646333459971,0.3679538779064732,0.35254704197633185,0.3068778656572706,0.296592380025657,0.25976204494201777,0.2585429819746869,0.24138897381148058,0.2262648886404065,,,,,,,
3,7.196736278263709,5.7915724030524025,2.16681091442487,1.8291635680294192,1.685375330559575,1.5360106561502456,1.505550463166571,1.4768502255698743,1.3093450933537658,1.2966749133499376,1.172467805495718,0.8499513282006712,0.7955760866524046,0.6210754367355451,0.5217704380638275,0.47724999576685767,0.42708738285497716,0.4080603436229474,0.40147690045360346,0.3657135705439107,0.3651125256477622,0.348607826831874,0.32382848608581966,0.2813039602022334,0.25634874955567605,0.2220811504328613,,,,,,,,,,,,,,,,
4,9.797741692675729,5.863635625967743,5.8628698170602656,4.861968954007663,4.590092514381615,4.206095036164969,4.182016193981758,4.006982536043825,3.6034511698616236,3.3373023679721214,2.364133013163755,2.1259121263514498,2.1110892984870415,1.923181030847879,1.6360134884290771,1.5128532383098836,1.4639815627728974,1.430848341495801,1.3529635959045128,1.093468151983494,1.0451878155750614,0.932445331942879,0.8123683924124987,0.7754568629800749,0.7706118032363952,0.5596817125630118,0.4740926116532106,0.43737342357824005,0.3822378180136901,0.3338741526870624,0.2980659817213361,0.2810472441881423,0.26747715502398234,0.221452838706274,,,,,,,,
5,10.650461938330233,7.767796280724381,6.218859408234156,5.589359463565005,3.0811802088849665,1.7068132317231672,1.4262916183623942,1.2753874095170858,1.0522381627609192,0.7923788850729625,0.6729158547538606,0.6046973941984287,0.5150817942842656,0.3951722609478638,0.382781440078121,0.3580500623989087,0.34425986763353833,0.2968294394669455,0.29068638071207553,0.28083040324821384,0.2184126728337712,0.20253227673796279,0.18772284849954995,,,,,,,,,,,,,,,,,,,
6,13.13282098505216,12.590192921133948,8.109108747478425,1.6149731827892844,1.4396173126283716,1.2667508389578832,1.2211434185566403,1.192753443673063,1.156169615161152,1.0392330833054286,0.8065977467115286,0.6768214050552257,0.6659423374550043,0.6173866988501466,0.6115767761784376,0.579409066742256,0.42892309999040584,0.42593363345194235,0.4005172885187841,0.36611564284090037,0.3639054828335539,0.35678980428294615,0.3081502521628052,0.19765449052306167,,,,,,,,,,,,,,,,,,
7,12.625732090553498,8.418763698825988,7.681767843610453,5.089887960932295,4.6201050127195025,4.211272377707766,3.9745922686054027,3.76917243835429,2.729606690380669,2.7266987860604583,2.7025599539463836,2.518790163426943,2.4443410669689087,2.262110900405903,2.1905091409793482,1.941745267347708,1.767641819423889,1.5975789478686293,1.585482214172546,1.5592934134842653,1.5299479626420889,1.519449197582841,1.3690705035955677,1.3536377264656463,1.1904481815357655,1.1451238261575358,1.0113635150425766,0.9894762467964626,0.7973394707965752,0.6213298863254232,0.544109917637222,0.42371644498553906,0.4121955065797062,0.37569261665321024,0.35325815148946665,0.3335069594476242,0.2894809157693876,0.25113135702955514,0.2416818266145352,0.23151540847543972,,
8,7.448286796078607,1.9189214223002666,1.7546941634473288,1.5719492739672847,1.3591494401388289,1.2327323154684766,1.1176231928306763,1.0960440989915443,0.945713298508765,0.9341282286634206,0.6020653505348615,0.5943788636683022,0.4676876281048218,0.38079904351344557,0.2466259875930108,0.2389361229328521,0.23810747624060682,0.21074863307309263,,,,,,,,,,,,,,,,,,,,,,,,
9,8.84049919748351,5.113154723217613,4.71222370949063,4.139194239808586,3.6580369787292226,3.478112862767208,3.4116670352510114,2.943829576374195,2.7890702520531376,2.677980064649792,2.463080064380178,2.3050304789093543,1.925011876568784,1.9065834225637597,1.624852468519464,1.518268307191339,1.1875777700242185,1.178832700699128,1.0979350577904412,0.9906999206460678,0.9705004467064448,0.845337346802112,0.5760691233366776,0.5682209683294068,0.5503730038843124,0.4699643592875694,0.421437722869093,0.41973271230830467,0.4058529630981641,0.39490750967415705,0.3303777097672007,0.3025505345452905,0.2947111771588492,0.29333793142331216,0.22598579394298132,0.21224820943639847,0.21037450149516138,,,,,
10,8.443616448556881,6.192238922594125,3.468492508415693,2.4992410361962256,2.255868069451322,2.149801216254556,2.1400065631402536,2.0699003673517655,1.9919137607395734,1.5953112062367778,1.381958896847922,1.2343919862484372,1.0771751787851498,1.0628590781231764,1.0521182599951384,0.9485619769054987,0.9018214450592594,0.7052791422178974,0.555112032658912,0.5543512758608896,0.49826161695647136,0.4425251023498496,0.4232678689706298,0.41713891855693647,0.3576113419991682,0.30423866730844856,0.2843113242091219,0.27507292481688383,0.2565579676622679,0.24439597843853805,0.24130950090427872,0.23172027101613155,0.2290148659943141,,,,,,,,,
