epoch,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29
1,56.80796544585282,5.510551817622962,4.773084402585629,3.0878796206518757,2.4925488036354655,2.022715002577214,1.4214063995308293,0.627014530965893,0.4933478590780161,0.4894427113906632,0.35077825496386167,0.32342363391969187,0.2779518419943295,0.21716962829630168,0.10153299717933001,0.061318989813767114,0.05849478639692204,0.046660178725480256,,,,,,,,,,,,
2,174.79380516877154,21.83666809060834,3.5240164895761996,2.3345037595529394,1.879861217093951,1.876984571615235,1.085458739030467,0.7731908519439119,0.33253779522861077,0.2844904626741531,0.23336794133932465,0.22974141168003992,0.10240342172249019,0.06196305749427252,0.05534611778651214,,,,,,,,,,,,,,,
3,15.491363064787613,1.4434940643840075,1.079367054090449,0.8498641410079714,0.43256735899966503,0.3584700322350898,0.2638927615584473,0.24700000082874274,0.21904289351014705,0.17550835827076403,0.12026960474105322,0.1130039885494107,0.07340975984041904,0.06191802503835491,,,,,,,,,,,,,,,,
4,301.39944384258314,59.47781128080043,55.416864012082584,44.80314806026427,10.530431051376867,1.6476609502433395,1.2233727385546873,0.9133518823620337,0.7890895250029377,0.36625954661565896,0.32957225722796013,0.32031380372576146,0.3019099357531116,0.25340945628159567,0.2179265058573376,0.15855464018940946,0.13683928919778215,0.121987299385897,0.09176701175508434,0.09094452280166476,0.06412407649663937,,,,,,,,,
5,406.5879760393306,108.73761697264499,59.565269958545926,21.121330982445816,7.240561232307114,4.469542302175228,4.0768422247836344,1.666562626249074,1.2785812632984503,1.2553658778926413,1.196967061317796,0.7222636466603112,0.6198483424817451,0.37540476993549876,0.3678595178594882,0.23956683047552463,0.15016560035409343,0.0850283613788738,0.08190848325917237,0.060833555515074106,,,,,,,,,,
6,7.646933392964678,4.291716650111383,3.6361154077095224,3.4522533205033192,2.3194944726955695,2.3170944441005634,1.3409585553058427,0.960645447495349,0.8677238719006979,0.7162906851301815,0.6657995184706849,0.5194075087436367,0.4411717000764114,0.3325674234262607,0.16751058388011383,0.1319679542601963,0.0495295062064644,0.03394812964991906,,,,,,,,,,,,
7,14.337637327550059,12.61648916355137,10.07780575440491,8.307833049674873,7.258462275562655,6.831485100713405,6.394465515488425,6.0469797396827465,5.500733778668296,4.709751377632674,4.233276575007724,3.109351180986189,0.6729225579797541,0.40511152340436024,0.3773870181798138,0.3737457975008942,0.3617645064471301,0.2005624852856635,0.17433875467613497,0.0918419875637878,0.0573542044121399,0.049548585835210476,,,,,,,,
8,797.0245614452269,31.342524716605936,11.537554073152009,11.3033298462127,5.567666101858313,4.989392251791034,2.0425862516679705,1.9399846576359974,1.8827140245580223,1.0650398828616467,0.8130080886567115,0.6819599924225458,0.47503776756009386,0.41846808513840983,0.22623610656810691,0.1266616301461633,0.05989300263927576,0.05862184255231956,0.05141801927870156,,,,,,,,,,,
9,56.74865915291264,26.7758292069325,5.4565508278238015,1.64372646179861,1.4552083644361637,1.391822064353128,0.9479463854040097,0.7049213363050849,0.617531722378499,0.2723233984017167,0.23101338403936408,0.1795318161105064,0.16664929037316956,0.10602280986788436,0.08520299280293317,0.04407562733456472,0.03487916618049747,,,,,,,,,,,,,
10,31.89588222723331,20.49409745157447,5.4529567399918095,3.9311981173820305,2.8361250631597583,1.5002933856556122,0.8280770499295774,0.29294852024249407,0.2476769216310645,0.21123751658180157,0.1497097561642102,0.13149028311365032,0.09804122018780127,0.032419685769253956,,,,,,,,,,,,,,,,
